2022-05-31 14:07:07 startup archives install
2022-05-31 14:07:07 install base-passwd:arm64 <none> 3.5.44
2022-05-31 14:07:07 status half-installed base-passwd:arm64 3.5.44
2022-05-31 14:07:07 status unpacked base-passwd:arm64 3.5.44
2022-05-31 14:07:07 status unpacked base-passwd:arm64 3.5.44
2022-05-31 14:07:07 configure base-passwd:arm64 3.5.44 3.5.44
2022-05-31 14:07:07 status unpacked base-passwd:arm64 3.5.44
2022-05-31 14:07:07 status half-configured base-passwd:arm64 3.5.44
2022-05-31 14:07:07 status installed base-passwd:arm64 3.5.44
2022-05-31 14:07:07 startup archives install
2022-05-31 14:07:07 install base-files:arm64 <none> 10.1ubuntu2
2022-05-31 14:07:07 status half-installed base-files:arm64 10.1ubuntu2
2022-05-31 14:07:07 status unpacked base-files:arm64 10.1ubuntu2
2022-05-31 14:07:07 status unpacked base-files:arm64 10.1ubuntu2
2022-05-31 14:07:07 configure base-files:arm64 10.1ubuntu2 10.1ubuntu2
2022-05-31 14:07:07 status unpacked base-files:arm64 10.1ubuntu2
2022-05-31 14:07:07 status unpacked base-files:arm64 10.1ubuntu2
2022-05-31 14:07:07 status unpacked base-files:arm64 10.1ubuntu2
2022-05-31 14:07:07 status unpacked base-files:arm64 10.1ubuntu2
2022-05-31 14:07:07 status unpacked base-files:arm64 10.1ubuntu2
2022-05-31 14:07:07 status unpacked base-files:arm64 10.1ubuntu2
2022-05-31 14:07:07 status unpacked base-files:arm64 10.1ubuntu2
2022-05-31 14:07:07 status unpacked base-files:arm64 10.1ubuntu2
2022-05-31 14:07:07 status unpacked base-files:arm64 10.1ubuntu2
2022-05-31 14:07:07 status unpacked base-files:arm64 10.1ubuntu2
2022-05-31 14:07:07 status unpacked base-files:arm64 10.1ubuntu2
2022-05-31 14:07:07 status unpacked base-files:arm64 10.1ubuntu2
2022-05-31 14:07:07 status unpacked base-files:arm64 10.1ubuntu2
2022-05-31 14:07:07 status half-configured base-files:arm64 10.1ubuntu2
2022-05-31 14:07:07 status installed base-files:arm64 10.1ubuntu2
2022-05-31 14:07:07 startup archives install
2022-05-31 14:07:07 upgrade dpkg 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2022-05-31 14:07:07 status half-configured dpkg 1.19.0.5ubuntu2
2022-05-31 14:07:07 status unpacked dpkg 1.19.0.5ubuntu2
2022-05-31 14:07:07 status half-installed dpkg 1.19.0.5ubuntu2
2022-05-31 14:07:08 status half-installed dpkg 1.19.0.5ubuntu2
2022-05-31 14:07:08 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2022-05-31 14:07:08 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2022-05-31 14:07:08 configure dpkg:arm64 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2022-05-31 14:07:08 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2022-05-31 14:07:08 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2022-05-31 14:07:08 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2022-05-31 14:07:08 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2022-05-31 14:07:08 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2022-05-31 14:07:08 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2022-05-31 14:07:08 status half-configured dpkg:arm64 1.19.0.5ubuntu2
2022-05-31 14:07:08 status installed dpkg:arm64 1.19.0.5ubuntu2
2022-05-31 14:07:08 startup archives install
2022-05-31 14:07:08 install libc6:arm64 <none> 2.27-3ubuntu1
2022-05-31 14:07:08 status half-installed libc6:arm64 2.27-3ubuntu1
2022-05-31 14:07:08 status unpacked libc6:arm64 2.27-3ubuntu1
2022-05-31 14:07:08 status unpacked libc6:arm64 2.27-3ubuntu1
2022-05-31 14:07:08 configure libc6:arm64 2.27-3ubuntu1 2.27-3ubuntu1
2022-05-31 14:07:08 status unpacked libc6:arm64 2.27-3ubuntu1
2022-05-31 14:07:08 status unpacked libc6:arm64 2.27-3ubuntu1
2022-05-31 14:07:08 status half-configured libc6:arm64 2.27-3ubuntu1
2022-05-31 14:07:09 status installed libc6:arm64 2.27-3ubuntu1
2022-05-31 14:07:09 startup archives install
2022-05-31 14:07:09 install perl-base:arm64 <none> 5.26.1-6
2022-05-31 14:07:09 status half-installed perl-base:arm64 5.26.1-6
2022-05-31 14:07:09 status unpacked perl-base:arm64 5.26.1-6
2022-05-31 14:07:09 status unpacked perl-base:arm64 5.26.1-6
2022-05-31 14:07:09 configure perl-base:arm64 5.26.1-6 5.26.1-6
2022-05-31 14:07:09 status unpacked perl-base:arm64 5.26.1-6
2022-05-31 14:07:09 status half-configured perl-base:arm64 5.26.1-6
2022-05-31 14:07:09 status installed perl-base:arm64 5.26.1-6
2022-05-31 14:07:09 startup archives install
2022-05-31 14:07:09 install mawk:arm64 <none> 1.3.3-17ubuntu3
2022-05-31 14:07:09 status half-installed mawk:arm64 1.3.3-17ubuntu3
2022-05-31 14:07:09 status unpacked mawk:arm64 1.3.3-17ubuntu3
2022-05-31 14:07:09 status unpacked mawk:arm64 1.3.3-17ubuntu3
2022-05-31 14:07:09 configure mawk:arm64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2022-05-31 14:07:09 status unpacked mawk:arm64 1.3.3-17ubuntu3
2022-05-31 14:07:09 status half-configured mawk:arm64 1.3.3-17ubuntu3
2022-05-31 14:07:09 status installed mawk:arm64 1.3.3-17ubuntu3
2022-05-31 14:07:09 startup archives unpack
2022-05-31 14:07:09 upgrade base-files:arm64 10.1ubuntu2 10.1ubuntu2
2022-05-31 14:07:09 status half-configured base-files:arm64 10.1ubuntu2
2022-05-31 14:07:09 status unpacked base-files:arm64 10.1ubuntu2
2022-05-31 14:07:09 status half-installed base-files:arm64 10.1ubuntu2
2022-05-31 14:07:09 status half-installed base-files:arm64 10.1ubuntu2
2022-05-31 14:07:09 status unpacked base-files:arm64 10.1ubuntu2
2022-05-31 14:07:09 status unpacked base-files:arm64 10.1ubuntu2
2022-05-31 14:07:09 upgrade base-passwd:arm64 3.5.44 3.5.44
2022-05-31 14:07:09 status half-configured base-passwd:arm64 3.5.44
2022-05-31 14:07:09 status unpacked base-passwd:arm64 3.5.44
